gene_id,Gene Name,Gene Length
AAC76664.2,dUTP diphosphatase,152
AAC76665.2,nucleoid occlusion factor SlmA,198
AAC76666.1,orotate phosphoribosyltransferase,213
AAC76668.1,UPF0701 family protein YicC,287
AAC76669.2,DNA damage-inducible protein D,274
AAC76670.2,PF03458 family inner membrane protein YicG,205
AAC76671.2,DNA ligase B,560
AAC76672.1,guanylate kinase,207
AAC76673.1,RNA polymerase subunit omega,91
AAC76674.1,bifunctional (p)ppGpp synthase/hydrolase SpoT,702
AAC76675.1,tRNA (Gm18) 2'-O-methyltransferase,229
AAC76676.1,ATP-dependent DNA helicase RecG,693
AAC76677.1,glutamate:sodium symporter,401
AAC76678.1,xanthine:H(+) symporter XanP,463
AAC76679.1,AsmA family protein YicH,569
AAC76680.1,alpha-D-xyloside xylohydrolase,772
AAC76681.2,putative xyloside transporter YicJ,460
AAC76682.1,putative arabinose exporter,394
AAC76683.1,putative transporter YicL,307
AAC76684.1,lipoprotein-28,272
AAC76685.2,purine ribonucleoside exporter,396
AAC76686.2,DUF1198 domain-containing protein YicN,150
AAC76687.2,adenine transporter,444
AAC76688.1,adenine deaminase,588
AAC76689.1,hexose-6-phosphate:phosphate antiporter,463
AAC76690.2,inner membrane protein sensing glucose-6-phosphate,439
AAC76691.2,sensory histidine kinase UhpB,500
AAC76692.1,DNA-binding transcriptional activator UhpA,196
AAC76693.1,acetohydroxy acid synthase I subunit IlvN,96
AAC76694.1,acetohydroxy acid synthase I subunit IlvB,562
AAC76695.1,ilvBN operon leader peptide,32
AAC76696.2,multidrug efflux pump EmrD,394
AAC76697.1,uncharacterized protein YidF,165
AAC76698.1,inner membrane protein YidG,120
AAC76699.1,DUF202 domain-containing inner membrane protein YidH,115
AAC76700.1,putative inner membrane protein YidI,149
AAC76701.1,putative sulfatase/phosphatase YidJ,497
AAC76702.1,putative transporter YidK,571
AAC76703.2,putative DNA-binding transcriptional regulator YidL,297
AAC76707.1,putative DNA-binding transcriptional regulator YidP,238
AAC76708.2,putative transport protein YidE,553
AAC76709.2,small heat shock protein IbpB,142
AAC76710.1,small heat shock protein IbpA,137
AAC76711.2,DUF1375 domain-containing putative lipoprotein YidQ,110
AAC76712.3,DUF3748 domain-containing galacturonate catabolism protein YidR,415
AAC76713.2,colicin M resistance protein,354
AAC76714.2,D-galactonate:H(+) symporter,430
AAC76716.1,2-dehydro-3-deoxygalactonokinase,292
AAC76720.1,sugar phosphatase YidA,270
AAC76721.2,DUF937 domain-containing protein YidB,132
AAC76723.1,DNA repair protein RecF,357
AAC76724.1,beta sliding clamp,366
AAC76725.1,chromosomal replication initiator protein DnaA,467
AAC76726.1,50S ribosomal subunit protein L34,46
AAC76727.1,RNase P protein component,119
AAC76728.1,membrane protein insertase YidC,548
AAC76729.1,5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit,454
AAC76730.1,tnaAB operon leader peptide,24
AAC76731.2,tryptophanase,471
AAC76732.1,tryptophan:H(+) symporter TnaB,415
AAC76733.1,efflux pump MdtL,391
AAC76734.1,putative LysR-type transcriptional regulator YidZ,319
AAC76735.2,putative phosphopantetheinyl transferase,249
AAC76736.1,chromate reductase,188
AAC76737.1,adenine:H(+) symporter,445
AAC76738.1,6-phosphogluconate phosphatase,221
AAC76739.1,putative inner membrane protein,155
AAC76740.1,UPF0167 family colicin E2 tolerance protein CbrC,195
AAC76742.3,putative hydrolase YieL,389
AAC76743.1,carbohydrate-specific outer membrane porin  cryptic,538
AAC76744.1,6-phospho-beta-glucosidase B,470
AAC76745.1,beta-glucoside specific PTS enzyme II/BglG kinase/BglG phosphatase,625
AAC76746.1,transcriptional antiterminator BglG,278
AAC76747.1,negative regulator of the pho regulon,241
AAC76748.1,phosphate ABC transporter ATP binding subunit,257
AAC76749.1,phosphate ABC transporter membrane subunit PstA,296
AAC76750.1,phosphate ABC transporter membrane subunit PstC,319
AAC76751.1,phosphate ABC transporter periplasmic binding protein,346
AAC76752.1,L-glutamine--D-fructose-6-phosphate aminotransferase,609
AAC76753.1,fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,456
AAC76754.1,ATP synthase F1 complex subunit epsilon,139
AAC76755.1,ATP synthase F1 complex subunit beta,460
AAC76756.1,ATP synthase F1 complex subunit gamma,287
AAC76757.1,ATP synthase F1 complex subunit alpha,513
AAC76758.1,ATP synthase F1 complex subunit delta,177
AAC76759.1,ATP synthase Fo complex subunit b,156
AAC76760.1,ATP synthase Fo complex subunit c,79
AAC76761.1,ATP synthase Fo complex subunit a,271
AAC76762.2,ATP synthase accessory factor AtpI,126
AAC76763.1,16S rRNA m(7)G527 methyltransferase,207
AAC76764.1,5-carboxymethylaminomethyluridine-tRNA synthase subunit MnmG,629
AAC76765.1,flavoprotein MioC,147
AAC76766.1,DNA-binding transcriptional dual regulator AsnC,152
AAC76767.1,asparagine synthetase A,330
AAC76769.2,regulatory ATPase RavA,498
AAC76771.2,D-ribose pyranase,139
AAC76772.1,ribose ABC transporter ATP binding subunit,501
AAC76773.1,ribose ABC transporter membrane subunit,321
AAC76774.1,ribose ABC transporter periplasmic binding protein,296
AAC76775.1,ribokinase,309
AAC76776.1,DNA-binding transcriptional dual regulator RbsR,330
AAC76777.1,putative transporter HsrA,475
AAC76779.1,ketol-acid reductoisomerase (NADP(+)),491
AAC76780.1,peptidyl-prolyl cis-trans isomerase C,93
AAC76785.1,ATP-dependent RNA helicase RhlB,421
AAC76786.2,thioredoxin 1,109
AAC76788.1,transcription termination factor Rho,419
AAC76789.1,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,367
AAC76790.2,enterobacterial common antigen polysaccharide co-polymerase,348
AAC76794.1,dTDP-glucose pyrophosphorylase 2,293
AAC76796.1,dTDP-4-dehydro-6-deoxy-D-glucose transaminase,376
AAC76797.1,lipid III flippase,416
AAC76800.1,putative enterobacterial common antigen polymerase,450
AAC76801.1,UDP-N-acetyl-D-mannosaminuronic acid transferase,246
AAC76804.1,putative sulfatase AslA,551
AAC76805.1,protein HemY,398
AAC76806.1,PF04375 family protein HemX,393
AAC76807.1,uroporphyrinogen-III synthase,246
AAC76809.1,adenylate cyclase,848
AAC76810.1,frataxin CyaY,106
AAC76812.2,diaminopimelate epimerase,274
AAC76813.1,DUF484 domain-containing protein YigA,235
AAC76814.1,site-specific tyrosine recombinase,298
AAC76815.1,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase,238
AAC76816.1,DNA helicase II,720
AAC76819.1,Ni(2(+))/Co(2(+))/Mg(2(+)) transporter,316
AAC76820.1,DUF2628 domain-containing protein YigF,126
AAC76821.2,inner membrane protein,126
AAC76823.2,putative thioesterase YigI,155
AAC76824.1,outer membrane phospholipase A,289
AAC76830.1,biotin transporter,299
AAC76831.1,DNA-binding transcriptional dual regulator MetR,317
AAC76832.1,cobalamin-independent homocysteine transmethylase,753
AAC76834.1,uridine phosphorylase,253
AAC76835.1,putative recombination limiting protein RmuC,475
AAC76837.1,ubiquinone biosynthesis accessory factor UbiJ,201
AAC76838.1,ubiquinone biosynthesis protein UbiB,546
AAC76839.2,twin arginine protein translocation system - TatA protein,89
AAC76842.1,twin arginine protein translocation system - TatC protein,258
AAC76845.1,transcription antiterminator RfaH,162
AAC76846.1,3-octaprenyl-4-hydroxybenzoate decarboxylase,497
AAC76847.1,NAD(P)H-flavin reductase,233
AAC76849.1,multifunctional enoyl-CoA hydratase  3-hydroxyacyl-CoA epimerase  Delta(3)-cis- Delta(2)-trans-enoyl-CoA isomerase  L-3-hydroxyacyl-CoA dehydrogenase,729
AAC76850.1,Xaa-Pro dipeptidase,443
AAC76851.2,IMPACT family member YigZ,204
AAC76853.1,protoporphyrinogen oxidase,181
AAC76854.2,molybdopterin-guanine dinucleotide biosynthesis adaptor protein,175
AAC76855.1,molybdenum cofactor guanylyltransferase,194
AAC76856.1,DUF1040 domain-containing protein YihD,89
AAC76857.1,stress response kinase A,328
AAC76858.1,thiol:disulfide oxidoreductase DsbA,208
AAC76859.2,DUF945 domain-containing protein YihF,476
AAC76860.1,1-acylglycerol-3-phosphate O-acyltransferase YihG,310
AAC76861.1,DNA polymerase I,928
AAC76862.3,GTP-binding protein YihA,210
AAC76863.1,Der GTPase-activating protein YihI,169
AAC76864.2,coproporphyrinogen III dehydrogenase,457
AAC76865.1,DNA-binding transcriptional dual regulator NtrC,469
AAC76866.1,sensory histidine kinase NtrB,349
AAC76867.1,glutamine synthetase,469
AAC76869.1,putative transcriptional regulator YihL,236
AAC76870.1,putative TIM barrel domain-containing protein YihM,326
AAC76871.1,putative transporter YihN,421
AAC76872.1,putative outer membrane porin L,230
AAC76874.2,putative 2 3-dihydroxypropane-1-sulfonate export protein,461
AAC76875.1,sulfoquinovosidase,678
AAC76876.1,putative sulfoquinovose mutarotase YihR,308
AAC76877.1,sulfurtransferase for molybdenum cofactor sulfuration,277
AAC76878.1,DUF3829 domain-containing lipoprotein YiiG,351
AAC76879.1,putative transcriptional regulator FrvR,582
AAC76880.1,peptidase M42 family protein FrvX,356
AAC76881.2,putative PTS enzyme IIBC component FrvB,483
AAC76882.1,putative PTS enzyme IIA component FrvA,148
AAC76883.1,L-rhamnose mutarotase,104
AAC76884.1,rhamnulose-1-phosphate aldolase,274
AAC76886.1,rhamnulokinase,489
AAC76887.1,DNA-binding transcriptional activator RhaS,278
AAC76888.2,DNA-binding transcriptional activator RhaR,282
AAC76889.1,rhamnose/lyxose:H(+) symporter,344
AAC76890.1,superoxide dismutase (Mn),206
AAC76891.2,2-dehydro-3-deoxy-D-gluconate:H(+) symporter,327
AAC76892.2,2-amino-6-N-hydroxylaminopurine resistance protein,224
AAC76893.1,sensor histidine kinase CpxA,457
AAC76894.1,DNA-binding transcriptional dual regulator CpxR,232
AAC76897.1,Zn(2(+))/Fe(2(+))/Cd(2(+)) exporter,300
AAC76898.1,6-phosphofructokinase 1,320
AAC76899.1,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,329
AAC76900.1,CDP-diacylglycerol diphosphatase,251
AAC76901.1,triose-phosphate isomerase,255
AAC76902.1,DUF1454 domain-containing protein YiiQ,199
AAC76903.1,DUF805 domain-containing protein YiiR,146
AAC76904.1,DUF406 domain-containing protein YiiS,99
AAC76905.1,universal stress protein D,142
AAC76906.1,flavodoxin/ferredoxin-NADP(+) reductase,248
AAC76907.1,fructose-1 6-bisphosphatase 2,336
AAC76908.1,glycerol kinase,502
AAC76909.1,glycerol facilitator,281
AAC76910.1,cell division factor ZapB,81
AAC76911.1,ribonuclease E inhibitor protein A,161
AAC76912.1,1 4-dihydroxy-2-naphthoate octaprenyltransferase,308
AAC76913.1,ATPase component of the HslVU protease,443
AAC76914.1,peptidase component of the HslVU protease,176
AAC76915.1,cell division protein FtsN,319
AAC76916.1,DNA-binding transcriptional repressor CytR,341
AAC76917.1,primosome factor N',732
AAC76918.1,50S ribosomal subunit protein L31,70
AAC76919.1,putative lipid-binding hydrolase YiiX,202
AAC76920.1,DNA-binding transcriptional repressor MetJ,105
AAC76921.1,O-succinylhomoserine(thiol)-lyase/O-succinylhomoserine lyase,386
AAC76922.1,fused aspartate kinase/homoserine dehydrogenase 2,810
AAC76923.1,5 10-methylenetetrahydrofolate reductase,296
AAC76924.1,catalase/hydroperoxidase HPI,726
AAC76925.2,cystine exporter,301
AAC76926.1,DUF1287 domain-containing protein YijF,205
AAC76927.2,L-1 2-propanediol dehydrogenase/glycerol dehydrogenase,367
AAC76928.1,fructose-6-phosphate aldolase 2,220
AAC76931.1,putative PTS enzyme IIC component FrwC,359
AAC76932.1,putative PTS enzyme IIB component FrwB,106
AAC76933.1,putative formate acetyltransferase 2,765
AAC76934.1,putative pyruvate formate-lyase 2 activating enzyme PflC,292
AAC76935.1,putative PTS enzyme IIB component FrwD,113
AAC76936.1,putative DNA-binding transcriptional regulator YijO,283
AAC76937.1,phosphoethanolamine transferase EptC,577
AAC76938.1,phosphoenolpyruvate carboxylase,883
AAC76939.1,acetylornithine deacetylase,383
AAC76940.1,N-acetylglutamylphosphate reductase,334
AAC76941.3,acetylglutamate kinase,258
AAC76942.1,argininosuccinate lyase,457
AAC76943.1,DNA-binding transcriptional dual regulator OxyR,305
AAC76944.2,soluble pyridine nucleotide transhydrogenase,466
AAC76945.3,DNA-binding transcriptional repressor FabR,234
AAC76946.1,DUF1422 domain-containing inner membrane protein YijD,119
AAC76947.1,tRNA m(5)U54 methyltransferase,366
AAC76948.1,cobalamin outer membrane transporter,614
AAC76949.2,glutamate racemase,285
AAC76950.1,UDP-N-acetylenolpyruvoylglucosamine reductase,342
AAC76951.1,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,321
AAC76952.1,pantothenate kinase,316
AAC76954.1,translation elongation factor Tu 2,394
AAC76955.1,Sec translocon subunit SecE,127
AAC76956.1,transcription termination factor NusG,181
AAC76957.1,50S ribosomal subunit protein L11,142
AAC76958.1,50S ribosomal subunit protein L1,234
AAC76959.1,50S ribosomal subunit protein L10,165
AAC76960.1,50S ribosomal subunit protein L12,121
AAC76961.1,RNA polymerase subunit beta,1342
AAC76962.1,RNA polymerase subunit beta',1407
AAC76963.1,protein YjaZ,179
AAC76964.1,2-iminoacetate synthase,377
AAC76965.2,1-deoxy-D-xylulose 5-phosphate:thiol sulfurtransferase,256
AAC76966.2,sulfur carrier protein ThiS adenylyltransferase,251
AAC76967.1,thiamine phosphate synthase,211
AAC76968.1,phosphomethylpyrimidine synthase,631
AAC76969.1,regulator of sigma D,158
AAC76971.1,uroporphyrinogen decarboxylase,354
AAC76972.2,endonuclease V,223
AAC76973.1,DUF416 domain-containing protein YjaG,196
AAC76974.1,DNA-binding protein HU-alpha,90
AAC76975.1,DUF1481 domain-containing protein YjaH,231
AAC76976.2,signaling pathway modulator ZraP,141
AAC76977.1,sensor histidine kinase ZraS,465
AAC76978.1,DNA-binding transcriptional activator ZraR,441
AAC76979.1,phosphoribosylamine--glycine ligase,429
AAC76980.1,bifunctional AICAR transformylase/IMP cyclohydrolase,529
AAC76981.1,stress response protein,127
AAC76982.1,peptidyl-lysine N-acetyltransferase YjaB,147
AAC76983.1,homoserine O-succinyltransferase,309
AAC76984.1,malate synthase A,533
AAC76985.1,isocitrate lyase,434
AAC76986.1,isocitrate dehydrogenase kinase/phosphatase,578
AAC76987.1,regulator of acetyl CoA synthetase,728
AAC76988.2,DNA-binding transcriptional repressor IclR,274
AAC76989.1,cobalamin-dependent methionine synthase,1227
AAC76990.1,putative inorganic phosphate export protein YjbB,543
AAC76991.1,peptidase E,229
AAC76992.1,23S rRNA pseudouridine(2604) and tRNA(Tyr) pseudouridine(35) synthase,290
AAC76993.1,DUF3811 domain-containing protein YjbD,90
AAC76994.1,aspartate kinase III,449
AAC76995.1,glucose-6-phosphate isomerase,549
AAC76996.1,uncharacterized protein YjbE,80
AAC76997.2,lipoprotein YjbF,212
AAC76998.1,capsule biosynthesis GfcC family protein YjbG,245
AAC76999.1,YjbH family protein,698
AAC77000.1,putative phosphate starvation-inducible protein PsiE,136
AAC77001.1,D-xylose:H(+) symporter,491
AAC77002.1,maltose ABC transporter membrane subunit MalG,296
AAC77003.1,maltose ABC transporter membrane subunit MalF,514
AAC77004.1,maltose ABC transporter periplasmic binding protein,396
AAC77005.1,maltose ABC transporter ATP binding subunit,371
AAC77006.1,maltose outer membrane channel/phage lambda receptor protein,446
AAC77007.1,maltose regulon periplasmic protein,306
AAC77009.2,chorismate lyase,165
AAC77010.1,4-hydroxybenzoate octaprenyltransferase,290
AAC77011.2,glycerol-3-phosphate 1-O-acyltransferase,807
AAC77012.1,diacylglycerol kinase,122
AAC77013.1,DNA-binding transcriptional repressor LexA,202
AAC77014.1,DNA damage-inducible protein F,459
AAC77015.1,putative stress response protein YjbJ,69
AAC77016.2,DNA-binding transcriptional repressor Zur,171
AAC77017.1,uncharacterized protein YjbL,84
AAC77018.1,DUF2713 domain-containing protein YjbM,235
AAC77019.3,tRNA-dihydrouridine synthase A,345
AAC77020.2,phage shock protein G,80
AAC77021.1,putative quinone oxidoreductase 1,327
AAC77022.1,replicative DNA helicase,471
AAC77023.1,alanine racemase 1,359
AAC77024.1,tyrosine aminotransferase,397
AAC77025.1,acid phosphatase/phosphotransferase,237
AAC77026.1,UPF0047 protein YjbQ,138
AAC77027.1,PF04237 family protein YjbR,118
AAC77028.1,excision nuclease subunit A,940
AAC77029.1,ssDNA-binding protein,178
AAC77030.2,uncharacterized protein YjcB,93
AAC77031.1,c-di-GMP phosphodiesterase PdeC,528
AAC77032.1,DNA-binding transcriptional dual regulator SoxS,107
AAC77033.1,DNA-binding transcriptional dual regulator SoxR,154
AAC77034.1,guanine/hypoxanthine transporter GhxP,449
AAC77035.1,putative transporter YjcE,549
AAC77036.1,pentapeptide repeat-containing protein YjcF,430
AAC77037.1,acetate/glycolate:cation symporter,549
AAC77038.1,DUF485 domain-containing inner membrane protein YjcH,104
AAC77039.1,acetyl-CoA synthetase (AMP-forming),652
AAC77040.1,cytochrome c552 nitrite reductase,478
AAC77041.2,periplasmic nitrite reductase penta-heme c-type cytochrome,188
AAC77042.1,putative menaquinol-cytochrome c reductase 4Fe-4S subunit,223
AAC77043.1,putative menaquinol-cytochrome c reductase subunit NrfD,318
AAC77044.2,linear primary-alkylsulfatase,661
AAC77045.1,D-allose kinase,309
AAC77046.1,D-allulose-6-phosphate 3-epimerase,231
AAC77047.1,D-allose ABC transporter membrane subunit,326
AAC77048.1,D-allose ABC transporter ATP binding subunit,510
AAC77049.1,D-allose ABC transporter periplasmic binding protein,311
AAC77050.2,DNA-binding transcriptional repressor AlsR,296
AAC77051.1,allose-6-phosphate isomerase/ribose-5-phosphate isomerase B,149
AAC77053.1,5-phospho-alpha-D-ribosyl 1 2-cyclic phosphate phosphodiesterase,252
AAC77054.1,aminoalkylphosphonate N-acetyltransferase,144
AAC77055.1,ribose 1 5-bisphosphate phosphokinase,185
AAC77056.1,RPnTP hydrolase,378
AAC77057.1,methylphosphonate degradation complex subunit PhnL,226
AAC77059.1,carbon-phosphorus lyase core complex subunit PhnJ,281
AAC77060.1,carbon-phosphorus lyase core complex subunit PhnI,354
AAC77061.1,carbon-phosphorus lyase core complex subunit PhnH,194
AAC77062.1,carbon-phosphorus lyase core complex subunit PhnG,150
AAC77063.1,putative transcriptional regulator PhnF,241
AAC77066.1,phosphonate/phosphate ABC transporter periplasmic binding protein,338
AAC77067.1,phosphonate/phosphate ABC transporter ATP binding subunit,262
AAC77068.1,PF06983 family protein YjdN,147
AAC77069.1,zinc ribbon domain-containing protein YjdM,111
AAC77070.1,regulator of diguanylate cyclase RdcA,742
AAC77071.2,regulator of diguanylate cyclase RdcB,292
AAC77072.1,osmolyte:H(+) symporter ProP,500
AAC77073.1,sensor histidine kinase BasS,363
AAC77074.1,DNA-binding transcriptional dual regulator BasR,222
AAC77075.2,phosphoethanolamine transferase EptA,547
AAC77076.1,arginine:agmatine antiporter,445
AAC77077.1,DNA-binding transcriptional activator AdiY,253
AAC77078.2,arginine decarboxylase  degradative,755
AAC77079.1,DNA-binding transcriptional dual regulator MelR,302
AAC77080.1,alpha-galactosidase,451
AAC77081.2,melibiose:H(+)/Na(+)/Li(+) symporter,473
AAC77082.1,DUF2238 domain-containing inner membrane protein YjdF,209
AAC77083.1,fumarase B,548
AAC77084.1,anaerobic C4-dicarboxylate transporter DcuB,446
AAC77085.1,DNA-binding transcriptional activator DcuR,239
AAC77086.1,sensor histidine kinase DcuS,543
AAC77087.1,PF06902 family protein YjdI,76
AAC77088.1,putative N-acetyltransferase YjdJ,90
AAC77089.1,antitoxin of the GhoTS toxin-antitoxin system,98
AAC77090.1,lysine--tRNA ligase/Ap4A synthetase/Ap3A synthetase,505
AAC77091.1,dipeptide/tripeptide:H(+) symporter DtpC,485
AAC77092.1,lysine decarboxylase 1,715
AAC77093.1,lysine:cadaverine antiporter,444
AAC77094.1,DNA-binding transcriptional activator CadC,512
AAC77095.2,putative DNA-binding transcriptional regulator YjdC,191
AAC77096.1,thiol-disulfide exchange protein DsbD,565
AAC77097.1,copper binding protein CutA,112
AAC77098.1,C4-dicarboxylate transporter DcuA,433
AAC77099.2,aspartate ammonia-lyase,478
AAC77100.2,protein FxsA,158
AAC77101.1,L-methionine/branched chain amino acid exporter,418
AAC77102.1,cochaperonin GroES,97
AAC77103.1,chaperonin GroEL,548
AAC77104.2,DUF4156 domain-containing lipoprotein YjeI,117
AAC77105.1,protein YjeJ,289
AAC77106.1,lysine 2 3-aminomutase,342
AAC77107.1,protein chain elongation factor EF-P,188
AAC77108.2,guanidinium exporter,105
AAC77109.1,outer membrane lipoprotein Blc,177
AAC77110.1,beta-lactamase,377
AAC77111.1,fumarate reductase membrane protein FrdD,119
AAC77112.1,fumarate reductase membrane protein FrdC,131
AAC77113.1,fumarate reductase iron-sulfur protein,244
AAC77114.1,fumarate reductase flavoprotein subunit,602
AAC77115.2,EF-P-lysine lysyltransferase,325
AAC77116.2,putative transporter YjeM,500
AAC77117.1,uncharacterized protein YjeN,104
AAC77118.1,DUF2645 domain-containing inner membrane protein YjeO,104
AAC77119.1,miniconductance mechanosensitive channel MscM,1107
AAC77120.1,phosphatidylserine decarboxylase proenzyme,322
AAC77121.2,ribosome small subunit-dependent GTPase A,350
AAC77122.2,oligoribonuclease,181
AAC77123.1,epoxyqueuosine reductase,379
AAC77124.1,NAD(P)HX epimerase/NAD(P)HX dehydratase,515
AAC77125.1,N(6)-L-threonylcarbamoyladenine synthase  TsaE subunit,153
AAC77126.1,N-acetylmuramoyl-L-alanine amidase B,445
AAC77127.1,DNA mismatch repair protein MutL,615
AAC77128.1,tRNA dimethylallyltransferase,316
AAC77129.1,RNA-binding protein Hfq,102
AAC77130.1,ribosome rescue factor HflX,426
AAC77131.1,regulator of FtsH protease,419
AAC77132.1,regulator of FtsH protease,334
AAC77133.1,DUF2065 domain-containing protein YjeT,65
AAC77134.1,adenylosuccinate synthetase,432
AAC77135.1,DNA-binding transcriptional repressor NsrR,141
AAC77136.2,RNase R,813
AAC77137.1,23S rRNA 2'-O-ribose G2251 methyltransferase,243
AAC77138.1,DUF2170 domain-containing protein YjfI,133
AAC77139.1,PspA family protein YjfJ,232
AAC77140.1,DUF2491 domain-containing protein YjfK,219
AAC77141.1,DUF350 domain-containing inner membrane protein YjfL,132
AAC77142.1,DUF1190 domain-containing protein YjfM,212
AAC77143.1,putative acid--amine ligase YjfC,387
AAC77144.2,putative acyl-CoA dehydrogenase AidB,541
AAC77145.2,protease activator YjfN,91
AAC77146.2,DUF1471 domain-containing putative lipoprotein BsmA,109
AAC77147.1,carboxylesterase,249
AAC77148.1,DNA-binding transcriptional repressor UlaR,251
AAC77149.2,L-ascorbate-6-phosphate lactonase,354
AAC77150.2,L-ascorbate specific PTS enzyme IIC component,465
AAC77151.1,L-ascorbate specific PTS enzyme IIB component,101
AAC77152.1,L-ascorbate specific PTS enzyme IIA component,154
AAC77153.1,3-keto-L-gulonate-6-phosphate decarboxylase UlaD,216
AAC77154.1,L-ribulose-5-phosphate 3-epimerase UlaE,284
AAC77155.1,L-ribulose-5-phosphate 4-epimerase UlaF,228
AAC77156.1,DUF1471 domain-containing protein YjfY,91
AAC77157.5,30S ribosomal subunit protein S6,131
AAC77158.1,primosomal replication protein N,104
AAC77159.1,30S ribosomal subunit protein S18,75
AAC77160.1,50S ribosomal subunit protein L9,149
AAC77161.1,protein YjfZ,264
AAC77163.2,cell division protein YtfB,212
AAC77164.2,FKBP-type peptidyl-prolyl cis-trans isomerase FklB,206
AAC77165.1,D-serine/alanine/glycine/:H(+)symporter,470
AAC77166.1,iron-sulfur cluster repair protein YtfE,220
AAC77167.2,inner membrane protein YtfF,321
AAC77168.1,NAD(P)H:quinone oxidoreductase,286
AAC77169.2,putative transcriptional regulator YtfH,126
AAC77170.1,2'3' cyclic nucleotide phosphodiesterase/3' nucleotidase,647
AAC77171.1,3'(2') 5'-bisphosphate nucleotidase,246
AAC77173.1,PF09695 family protein YtfJ,184
AAC77174.2,stringent response modulator YtfK,68
AAC77175.1,UPF0053 family inner membrane protein YtfL,447
AAC77176.1,methionine sulfoxide reductase A,212
AAC77177.1,translocation and assembly module subunit TamA,577
AAC77178.1,translocation and assembly module subunit TamB,1259
AAC77179.1,gamma-glutamylamine cyclotransferase family protein YtfP,113
AAC77181.2,ChpS antitoxin of the ChpB-ChpS toxin-antitoxin system,83
AAC77182.1,endoribonuclease toxin ChpB,116
AAC77183.1,inorganic pyrophosphatase,176
AAC77184.1,galactofuranose ABC transporter periplasmic binding protein,318
AAC77187.3,galactofuranose ABC transporter putative membrane subunit YtfT,341
AAC77188.2,galactofuranose ABC transporter putative membrane subunit YjtF,331
AAC77189.1,fructose-1 6-bisphosphatase 1,332
AAC77190.1,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2 6-diaminoheptanedioate ligase,457
AAC77191.1,DUF615 domain-containing protein YjgA,183
AAC77192.1,metalloprotease subunit TldE,450
AAC77194.1,anaerobic ribonucleoside-triphosphate reductase activating protein,154
AAC77195.1,anaerobic ribonucleoside-triphosphate reductase,712
AAC77196.1,trehalose-6-phosphate hydrolase,551
AAC77197.1,trehalose-specific PTS enzyme IIBC component,473
AAC77198.1,DNA-binding transcriptional repressor TreR,315
AAC77199.1,Mg(2(+)) importing P-type ATPase,898
AAC77200.2,enamine/imine deaminase  redox-regulated chaperone,128
AAC77201.1,aspartate carbamoyltransferase  PyrI subunit,153
AAC77202.1,aspartate carbamoyltransferase catalytic subunit,311
AAC77203.1,pyrBI operon leader peptide,44
AAC77205.1,RutC family protein YjgH,131
AAC77206.1,c-di-GMP-binding biofilm dispersal mediator protein,237
AAC77208.2,putative transcriptional regulator BdcR,197
AAC77209.2,DUF386 domain-containing toxin-antitoxin biofilm protein TabA,150
AAC77210.2,protein YjgL,604
AAC77211.1,ornithine carbamoyltransferase ArgI,334
AAC77212.1,ribonuclease E inhibitor protein B,138
AAC77215.1,valine--tRNA ligase,951
AAC77216.1,DNA polymerase III subunit chi,147
AAC77217.1,aminopeptidase A/I,503
AAC77218.1,lipopolysaccharide transport system protein LptF,366
AAC77219.2,lipopolysaccharide transport system protein LptG,360
AAC77220.1,DUF853 domain-containing protein YjgR,500
AAC77221.1,DNA-binding transcriptional dual regulator IdnR,332
AAC77222.1,L-idonate/5-ketogluconate/gluconate transporter,439
AAC77223.1,5-keto-D-gluconate 5-reductase,254
AAC77224.1,L-idonate 5-dehydrogenase,343
AAC77225.1,D-gluconate kinase  thermosensitive,187
AAC77226.2,NADPH-dependent aldehyde reductase Ahr,339
AAC77228.2,KpLE2 phage-like element; IS2 insertion element repressor InsA,121
AAC77229.1,KpLE2 phage-like element; IS2 insertion element protein InsB,301
AAC77233.1,KpLE2 phage-like element; uncharacterized protein YjgZ,109
AAC77234.1,KpLE2 phage-like element; IS4 putative transposase,442
AAC77235.2,sialic acid transporter NanX,405
AAC77236.2,KpLE2 phage-like element; 2 7-anhydro-N-acetylneuraminate hydratase,372
AAC77240.1,KpLE2 phage-like element; IS30 transposase,383
AAC77243.1,ferric citrate ABC transporter ATP binding subunit,255
AAC77244.1,ferric citrate ABC transporter membrane subunit FecD,318
AAC77245.1,ferric citrate ABC transporter membrane subunit FecC,332
AAC77246.2,ferric citrate ABC transporter periplasmic binding protein,300
AAC77247.1,ferric citrate outer membrane transporter,774
AAC77248.1,ferric citrate regulator FecR,317
AAC77249.1,RNA polymerase sigma factor FecI,173
AAC77250.1,KpLE2 phage-like element; IS1 repressor protein InsA,91
AAC77251.2,KpLE2 phage-like element; putative DNA-binding transcriptional regulator YjhU,328
AAC77252.1,KpLE2 phage-like element; putative transporter YjhF,449
